Time,Temperature,Humidity,WaterFlow,Power,Current,Battery,Motion,GroundTruthAnomaly,EventCode
2026-03-01 00:00:00,20.201,51.28,0.07,383.25,1.6987,52.307,0,0,0
2026-03-01 00:05:00,19.707,50.195,0.035,476.705,2.0795,49.316,0,0,0
2026-03-01 00:10:00,20.311,52.482,0.0,290.643,1.0796,48.88,0,0,0
2026-03-01 00:15:00,20.356,52.342,0.036,2012.698,8.7055,50.37,0,0,0
2026-03-01 00:20:00,19.323,51.558,0.029,309.927,1.4292,49.964,0,0,0
2026-03-01 00:25:00,19.531,50.155,0.052,301.741,1.359,47.927,0,0,0
2026-03-01 00:30:00,20.012,51.853,0.045,310.078,1.4456,50.82,0,0,0
2026-03-01 00:35:00,19.839,51.534,0.0,394.509,1.6364,49.152,0,0,0
2026-03-01 00:40:00,19.927,49.298,0.044,322.093,1.5029,46.496,0,0,0
2026-03-01 00:45:00,19.618,49.085,0.005,567.367,2.4633,45.859,1,0,0
2026-03-01 00:50:00,20.21,52.786,0.0,371.22,1.7414,46.115,0,0,0
2026-03-01 00:55:00,20.16,47.117,0.025,292.443,,45.477,0,0,0
2026-03-01 01:00:00,19.898,52.199,0.04,327.446,1.2599,47.384,0,0,0
2026-03-01 01:05:00,20.258,50.996,0.0,303.102,1.3858,46.507,0,0,0
2026-03-01 01:10:00,20.016,54.236,0.048,390.764,1.6635,44.62,0,0,0
2026-03-01 01:15:00,19.542,51.016,0.049,256.152,1.0836,45.128,0,0,0
2026-03-01 01:20:00,19.962,53.111,0.031,367.026,1.4795,44.895,1,0,0
2026-03-01 01:25:00,19.49,51.227,0.008,312.706,1.4894,43.305,0,0,0
2026-03-01 01:30:00,20.126,52.162,0.006,382.234,1.6202,43.385,0,0,0
2026-03-01 01:35:00,19.796,53.297,0.056,411.89,1.9168,43.243,0,0,0
2026-03-01 01:40:00,19.744,51.148,0.0,514.371,2.2019,42.662,1,0,0
2026-03-01 01:45:00,19.566,53.783,0.057,371.92,1.5428,40.348,0,0,0
2026-03-01 01:50:00,20.23,50.207,0.026,337.532,1.5731,40.094,0,0,0
2026-03-01 01:55:00,19.746,52.529,0.028,385.075,1.6684,40.279,0,0,0
2026-03-01 02:00:00,19.65,53.661,0.0,277.674,1.2022,39.262,0,0,0
2026-03-01 02:05:00,19.677,53.187,0.026,238.388,0.9339,37.731,0,0,0
2026-03-01 02:10:00,19.988,55.445,0.045,363.052,1.5419,40.582,0,0,0
2026-03-01 02:15:00,19.933,50.615,0.0,282.891,1.2643,39.724,0,0,0
2026-03-01 02:20:00,19.953,49.499,0.042,333.749,1.3471,36.84,0,0,0
2026-03-01 02:25:00,19.964,50.18,0.032,438.031,1.8614,38.142,1,0,0
2026-03-01 02:30:00,20.568,53.146,0.014,349.181,1.4845,37.89,0,0,0
2026-03-01 02:35:00,19.683,52.838,0.051,386.17,1.6843,38.112,0,0,0
2026-03-01 02:40:00,19.654,,0.0,379.387,1.7679,35.898,0,0,0
2026-03-01 02:45:00,19.557,49.883,0.039,343.354,1.4688,35.182,0,0,0
2026-03-01 02:50:00,20.068,53.262,0.07,307.299,1.2808,37.695,0,0,0
2026-03-01 02:55:00,20.258,49.652,0.066,336.492,1.6827,34.326,0,0,0
2026-03-01 03:00:00,19.835,53.916,0.04,296.706,1.2554,36.0,0,0,0
2026-03-01 03:05:00,19.594,56.944,0.022,317.602,1.3656,35.593,0,0,0
2026-03-01 03:10:00,19.613,52.428,0.014,471.291,2.0205,35.64,0,0,0
2026-03-01 03:15:00,20.144,52.784,0.022,336.175,1.4395,35.957,0,0,0
2026-03-01 03:20:00,20.193,50.811,3.224,444.759,1.94,37.74,1,0,0
2026-03-01 03:25:00,20.14,48.402,0.01,285.013,1.3129,32.718,0,0,0
2026-03-01 03:30:00,19.735,50.535,0.049,378.717,1.6789,36.218,0,0,0
2026-03-01 03:35:00,20.068,49.609,0.083,363.207,1.6653,30.932,0,0,0
2026-03-01 03:40:00,20.047,48.927,0.028,362.355,1.659,36.598,0,0,0
2026-03-01 03:45:00,20.103,54.585,0.0,330.709,1.4545,31.262,0,0,0
2026-03-01 03:50:00,20.354,51.926,0.0,374.491,1.6583,37.812,0,0,0
2026-03-01 03:55:00,20.149,52.067,0.049,386.257,1.7681,33.414,0,0,0
2026-03-01 04:00:00,20.332,50.774,0.029,330.57,1.3484,35.787,0,0,0
2026-03-01 04:05:00,20.143,50.963,0.052,307.366,1.5362,35.343,0,0,0
2026-03-01 04:10:00,20.246,52.953,0.017,361.524,1.5308,32.938,0,0,0
2026-03-01 04:15:00,20.392,51.099,0.051,261.233,1.1077,32.941,0,0,0
2026-03-01 04:20:00,19.688,52.051,0.026,270.095,1.0774,32.124,0,0,0
2026-03-01 04:25:00,20.114,50.679,0.012,305.261,1.2326,34.472,0,0,0
2026-03-01 04:30:00,20.09,50.351,0.02,211.013,0.9954,32.579,0,0,0
2026-03-01 04:35:00,20.061,48.367,0.0,350.888,1.7072,31.92,0,0,0
2026-03-01 04:40:00,20.218,47.27,0.08,250.981,1.0458,33.901,0,0,0
2026-03-01 04:45:00,20.869,50.288,0.028,276.569,1.2303,31.708,0,0,0
2026-03-01 04:50:00,20.075,50.788,0.046,289.319,1.2755,32.53,0,0,0
2026-03-01 04:55:00,20.75,48.297,0.017,301.749,1.392,33.167,0,0,0
2026-03-01 05:00:00,19.855,50.473,0.004,279.216,1.3915,32.036,0,0,0
2026-03-01 05:05:00,20.361,50.554,0.024,292.933,1.3953,32.269,0,0,0
2026-03-01 05:10:00,20.571,46.497,0.058,291.871,1.2499,35.326,0,0,0
2026-03-01 05:15:00,20.755,48.65,0.017,269.07,1.2122,32.747,0,0,0
2026-03-01 05:20:00,20.835,50.947,0.008,249.63,1.1356,32.556,0,0,0
2026-03-01 05:25:00,20.901,50.826,0.034,350.13,1.5207,32.886,0,0,0
2026-03-01 05:30:00,20.539,47.967,0.042,173.395,0.6662,33.896,0,0,0
2026-03-01 05:35:00,20.537,50.242,0.071,276.306,,31.74,0,0,0
2026-03-01 05:40:00,21.038,51.708,0.039,260.311,1.2236,34.021,0,0,0
2026-03-01 05:45:00,20.711,51.177,0.046,307.612,1.4375,33.864,0,0,0
2026-03-01 05:50:00,20.371,49.515,0.048,203.067,0.8663,30.91,0,0,0
2026-03-01 05:55:00,20.462,48.752,0.001,254.039,1.1254,36.408,0,0,0
2026-03-01 06:00:00,20.578,48.367,0.006,369.37,1.7017,36.043,1,0,0
